srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,594,9
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,2268,54
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,334,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,693,9
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,3537,10
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,5503,10
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,3024,72
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,840,20
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.xiaoyi.com.tw,6,*,443,855,*,*,15990,143
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,1722,15
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.xiaoyi.com.tw,6,*,80,855,*,*,444,5
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,147.161.12.152,17,*,36443,810,*,*,5931458,21983
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,278,5
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,222,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.xiaoyi.com.tw,*,6,443,*,750,*,*,54438,135
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,5672,14
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.xiaoyi.com.tw,*,6,80,*,750,*,*,919,5
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,147.161.12.152,*,17,36443,*,710,*,*,584676,11501
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
