srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,uk.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,use1-api.tplinkra.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,s1b.time.edu.cn,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,0.cn.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,devs.tplinkcloud.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,s1b.time.edu.cn,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,use1-api.tplinkra.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,0.cn.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,uk.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,devs.tplinkcloud.com,*,6,443,*,750,*,*
<deviceMac>,*,0x0800,*,*,17,48899,*,610,*,*
*,<deviceMac>,0x0800,*,*,17,*,48899,610,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
*,<deviceMac>,0x0800,*,*,6,*,9999,655,*,*
<deviceMac>,*,0x0800,*,*,6,9999,*,650,*,*
