srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
d0:73:d5:23:65:c0,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,1279,5
d0:73:d5:23:65:c0,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,2269,7
d0:73:d5:23:65:c0,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,84,2
d0:73:d5:23:65:c0,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,0,0
d0:73:d5:23:65:c0,*,0x86dd,*,*,ff02:0:0:0:0:1:ff23:65c0,58,*,*,1300,*,*,234,3
d0:73:d5:23:65:c0,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1522,3
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,*,*,1,*,*,1000,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,*,*,17,123,*,1000,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,*,*,*,*,17,53,*,1000,*,*,321,1
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,77,1
*,d0:73:d5:23:65:c0,0x0806,*,*,*,*,*,*,1000,*,*,1092,26
d0:73:d5:23:65:c0,*,0x0806,*,*,*,*,*,*,1000,*,*,1050,25
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,v2.broker.lifx.co,6,*,56700,855,*,*,40529,369
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,0,0
d0:73:d5:23:65:c0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,58,1
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,v2.broker.lifx.co,*,6,56700,*,750,*,*,39587,359
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,d0:73:d5:23:65:c0,0x0800,*,*,*,6,*,*,700,*,*,0,0
d0:73:d5:23:65:c0,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,d0:73:d5:23:65:c0,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,d0:73:d5:23:65:c0,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,d0:73:d5:23:65:c0,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,d0:73:d5:23:65:c0,0x0800,*,*,*,6,*,*,600,*,*,0,0
